System Key,System Name,Solution,Vendor,Application Type,Technology,System Role,Tribe,Is NonTarget System,Status,Criticality Level,Description Geo,Description Eng,Business Domains
108,PML (Constanta),,TBC Solutions,Win App,.Net,Master,Risks,Yes,Active,Normal,"პრობლემური სესხების მონიტორინგის პროგრამის მეშვეობით ხდება კონსტანტას მიკრო სესხების მონიტორინგი.
• ყველა მოქმედი სესხი რომლის ვადაგადაცილება აღემატება 30 დღეს 
• ყველა სესხი (მიუხედავად 30 დღემდე ვადაგადაცილების) რომლებზეც მონიშნულია მხოლოდ ისეთი მნიშვნე",Problem Loan Monitoring System for constanta loans,Debt Management
109,SME Scoring,,TBC Solutions,Win App,.Net,Master,MSME,Yes,Cancelled,Normal,სქორინგის სისტემა SME-ის სესხებისთვის,provide scors for SME segment,Credit Product Origination
110,CreditBureau DB,,TBC Solutions,DB App,SQL,Adapter,Retail Business,No,Active,Normal,საკრედიტო ბიუროს ქეში,Contains Credit Buuerue Data. Works as the cache for real credit Beureu,Credit Product Origination
111,AML,AML,FICO,Win App,N/A,Master,Ent Serv,No,Active,Normal,AML სისტემა,anti-money laundering system,Compliance
112,DM9,DM9,FICO,Web App,N/A,Master,Risks,No,Active,Normal,"სესხების ამოღების მოდული, რომლის საშუალებითაც ხდება ამოღების სტრატეგიების განსაზღვრა და კლიენტთან შესაბმისი კომუნიკაციების განხორციელება",Loan collection system,Debt Management
113,OTP,,TBC Solutions,Web Service,.Net,Master,Platforms,No,Active,Critical,ქმნის ერთჯერად პაროლიებს და ახდენს მის გადამოწმებას,Creates One time code and checks upn requirement,Others
114,BPM,BPM,TIBCO,Win App,Java,Mediator||Front,Platforms,No,Active,Key,ბიზნეს პროცესების მათვის სისტემა,Business process managament system,"Branch FEs (Call Centre, Branch, Back Office)||Integration||Others"
115,TBCWSPAL,,TBC Solutions,Web App,.Net,Adapter,Retail Business,No,Active,Key,ვებ საიტიდან წინასწარ დამტკიცებული სესხების გაცემა,Pre-approved loan orogination from website,Credit Product Origination
116,CPI,,TBC Solutions,App,.Net,Mediator,Platform Systems,No,Active,Critical,ბანკსა და საპროცესინგო სისტემებს შორის ინტეგრაციის სისტმა,Integration system between bank and card processing systems,Debit Cards||Credit Cards
117,LoyaltyPortal,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Normal,საკრედიტო ბარათების შესაბამისი ლოიალურურობის ფრონტენდ სისტემა კლიენტებისათვის,Credit Card loyality front end system for customers,Credit Cards||Self Service Channels
118,Onboarding Web,,TBC Solutions,Web App,.Net,Front,Digital,No,Active,Key,SME ონბორდინგის ფრონტალური ნაწილი,SME onboarding front end part,Self Service Channels
119,RPTRT(related parties),,TBC Solutions,Win App,.Net,Master,Ent Serv,No,Active,Normal,დაკავშირებული პირების ტრანზაქციების მონიტორინგ,Transaction Monitoring for related parties,Compliance
120,BOT,,TBC Solutions,Web Service,NodeJS,Master,Payments,No,Active,Normal,ინტერაქტიული ჩატის სისტემა,interactive chat system,Self Service Channels
121,Cash Management,,TBC Solutions,Web App,.Net,Master,Ent Serv,Yes,Active,Normal,ინკასაციების და ფულადი სახსრების მართვის მოდული,interactive chat system,Cash Management
122,TBC Credit,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Key,"ვებ აპლიკაცია, რომლიდანაც ხდება კლიენტის საკრედიტო განაცხადების შევსება და შემდეგ სესხების ორიჯინეიშენ სისტემებთან საუბარი","Web solution, where customer can submit loan application from internet",Credit Product Origination||Self Service Channels
123,Payment Order,,TBC Solutions,Web App,.Net,,Ent Serv,Yes,Cancelled,,"ანგარიშსწორების დავალების მოდული, რომლის საშუებითაც ხდება ბანკის თანამშრომლის მიერ ანგარიშსწორებისდ ავალების მიწოდება ფინანსური განყოფილებისთვუს",system enables bank employee to send repayment request for services provided to bank to financial department,GL & ERP
124,PCMS,,AzRy,Web App,Java,Master,Payments,No,Active,Normal,პრომო კამპანიების მართვის სისტემა,Promo campaign manament system,Others
125,Postal Services,,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Active,Normal,საფოსტო გზავნილების მართვის სისტემა,Postal services,Customer Notification
126,Asseco ERP,ERP,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Active,Normal,ERP system,ERP system,GL & ERP
127,Asseco HR,HR,Asseco,Web App,.Net,Master,Ent Serv,No,Active,Normal,HR system,HR system,HRM
128,TBC Wallet,,Prinum,Win App,.Net,Front,Payments,No,Active,Key,კლიენტს აძლებს საშუალებას დაარეგისტრიროს თავისი ბარათი მობილურში და შემდეგ მოახდინოს გადახდები NFC-ის საშუალებით,Enables customer to add his/her cards in the TBC Wallet Application and pay using NFC payment method,Card Payments
129,SDT - Simplified Decision Tool,,Jason Co,Win App,Java,,MSME,Yes,Cancelled,,სესხების ორიჯიეშენი sme სეგმენტისთვის,SME Loan origination solution,Credit Product Origination
130,New Intranet,,TBC Solutions,Web App,.Net,Front,Ent Serv,No,Active,Normal,new intranet system,new intranet system,HRM
131,Dm9 Staging,DM9,TBC Solutions,DB App,SQL / Staging,Adapter,Risks,No,Active,Normal,შუალედური სისტემა DM9-ში ინფორმაციის ატვირთვისთვის,"Intermediate solution , prepares data to upload in DM9 system",Debt Management
132,TBC Identity System,,TBC Solutions,Win App,.Net,Master,Platforms,No,Active,Critical,მომხმარებლის იდენტიფიკაცია თანამშრომლებისთვის,User Identification system for employees,Op Rsiks & Security
133,WordsTranslater,,PulsarAI,Win App,.Net,Master,Daily Operations,No,Active,Normal,"თარგმნის სისტემა, გამოიყენება ამონაწერის სათარგმნელად","Transalation system , used to transalate narrative of transactions",Others
134,Space Banking,Space Banking,TBC Solutions,Web App,Mambo,Master||Front,Space,No,Active,Critical,Space Banking,Space Banking,Self Service Channels
135,AML Staging,AML,TBC Solutions,DB App,SQL / Staging,Mediator,Ent Serv,No,Active,Normal,ინფორმაციის მომზადება და მიწოდება AML სისტემისთვის,Data staging module for AML solution,Compliance
136,CMM,,TBC Solutions,Web App,.Net,Adapter,Ent Serv,No,Active,Key,ქონების შეფასების მოდული,Property Valuation module,Loans
137,Multichannel Lottery,,TBC Solutions,Win App,.Net,Master,Digital,Yes,Cancelled,Normal,მულტიჩანელში ლატარიის გათამაშების სისტემა,Lottery system for multichannel,Others
138,RS.ge,,TBC Solutions,Web App,.Net,Adapter,Retail Business,No,Active,Key,შესავლების სამსახურიდან კლიენტების ინფორმაციის მოქაჩვა,Gets customer information from revenue service,Credit Product Origination||Government & Regulatory
139,Transaction Purpose Check,,PulsarAI,App,Java,Master,Daily Operations,No,Active,Normal,ახდენს გადარიცხის დანიშნულებს ანალიზს და ამოწმებს არის თუ არა დანიშნულებაში გამოყენებული დაუშვებელი შინაარსის სიტყვები ან არის თუ არა დავალება მესამე პირის სახელით განხორციელებული,Checks Payment Purpose whether or not it contains restricted words or transfer is performed on behalf of third party entity,"Payments (FT, Bill Payments, Remittances)"
140,JIRA Solutions,,Atlassian,Web App,N/A,Master,Ent Serv,No,Active,Normal,ბიზნეს დავალებების მართვის სისტემა,"Business Task managment syste,",Others
141,SDT Web,,Jason Co,Web App,Java,,MSME,Yes,Cancelled,," ვებ აპლიკაცია SDT სისტემისთვის",WEB application for SDT,Credit Product Origination||Self Service Channels
142,ERP Middleware DB,ERP,TBC Solutions,DB App,SQL,Adapter,Ent Serv,No,Active,Normal,"შუალედური გადაწყვეტა, რომლის საშუალებითაც ERP სისტემა ცვლის ინფორმაციას ქორთან","midllware solution, which provides data exchange between ERP and Core",GL & ERP
143,OTCS Contact Manager,Call Center,Veziri,App,N/A,Adapter,Daily Operations,No,Active,Key,ახდენს კლიენტებთან დარეკვის ავტომატიზაციას წინასწარ მოწოდებული სისს საფუძველზე,Enables to make auto dialing to customers based on provided list of inputs,Debt Management||Customer Notification
144,Alta Pushing,B6,Alta Software,Win Service,.Net,Adapter,Digital,Yes,Active,Critical,"ისვრის ტრანზაქციების, ანგარიშების, კლიენტების ივენთებს ტიბკოზე ","Pushing Solution, which sends events to TIBCO about transactons, accounts and clients",Integration
145,Search Data Store,,TBC Solutions,Web App,Elastic Search,Mediator,Platforms,No,Cancelled,Normal,"ეძებს ტრანზაქციებს, წინასწარ დავალებებს და დაირექტ დებეტის დავალებებს, გადახდის შაბლონებს, p2p შაბლონებს , მულტიჩანელის მეილებს","Enable Searching of transtions, standing order and direct debit instructions, bill payment templates, p2p templates, multichannel mail",Others
146,Space Pushing Service,Space Banking,Alta Software,Win Service,.Net,Adapter,Platform Systems,Yes,Active,Key,მდებარეობს space და TIBCO-ს შორის და აგზავნის ტრანზაქციებს space-შ თუ იგი მას ეკუთვნის. იღებს მონაცემებს ALTA pushing-დან და ახორციელებს დამატებით ტრანზაქციების დაფილტვრას და თუ ტრანზაქციის ერთერთი ანგარიშ ეკუთვნის Space-ს უგზავნის მას,"Web service , which stands between space and TIBCO and sends transaction to space if it belongs to Space. It Gets data from ALTA pushing and makes additional filter of transaction if one of the accounts belongs to Space and redirects to space",Integration
147,Child Card Portal,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Normal,მოსწალის ბარათის შეკვეთის ინტერნეტ აპლიკცაია,Enables to order pupil card from internet,Debit Cards||Self Service Channels
148,Doc Storage API,Doc Storage,TBC Solutions,Web App,.Net,Adapter,Platforms,No,Active,Critical,"შუალედური სისტემა, რომელიც ამარტივებს M-File-ში ჩაწერას","intermediate system , simplifyes interfaces between M-File and other systems",Integration
149,Moodys,,Moodys,Win App,N/A,Master,Risks,No,Active,Normal,კორპორატიული კლიენტებს ანიჭებს  რისკის დონეებს,assigns to coporate customers risk levels,Credit Product Origination
150,BPM Management Servies,BPM,TBC Solutions,Win Service,.Net,Adapter,Platforms,No,Active,Normal,"BPM-ში გახსნილად დატოვებული დავალებების დამხურავი სერვისი, დაუმუშავებელი დავალებების მონიტორინგის სერვისი","Closes opened work items in BPM, monitors unprocessed tasks in BPM",Others
151,BPM Integration services,BPM,TBC Solutions,Web Service,.Net,Adapter,Platforms,No,Active,Normal,ახორციელებს BPM-ის მიერ  მეილების გაგზავნას და ამ დროს M-File-თან ინტეგრაციას,Enables BPM to send mail and integrate with M-Files when attachment is required from M-Files,Others
152,SME Front End,,TBC Solutions,Web App,.Net,Front,Daily Operations,No,Active,Key,"ფრონტენდ სისტემა, სადაც კონცენტრირებულია კლიენტების მომსახურების ფუნქციონალი ერთიანი სისტემის ფარგლებში","Frontend system, contains different customer service operations in single system","Branch FEs (Call Centre, Branch, Back Office)"
153,LOS SME,LOS,FICO,Web App,Outsystems,Master||Mediator||Front,MSME,No,Active,Critical,"სესხის განაცხადების დამუშავების სისტემა SME სეგმენტისთვის ",Loan Application approval system for SME system,"Credit Product Origination||Branch FEs (Call Centre, Branch, Back Office)"
154,T-SYS,,T-SYS,Win App,Java,Master,Retail Business,No,Active,Critical,საკრედიტო ბარათების მართვის სისტემა,Credit Card management system,Credit Cards
155,BW,,TIBCO,Win App,BW,Mediator,Platforms,No,Active,Critical,სისტემების საინტეგრაციო პლათფორმა,system Integration Platform,Integration
156,TPay,,TBC Solutions,Web App,.Net,Master,Payments,No,Active,Key,QR გადახდების სისტემა,QR payments management system,"Payments (FT, Bill Payments, Remittances)||Self Service Channels"
157,COA (Customer Operation Approval),,TBC Solutions,App,.Net,Master||Front,Platforms,No,Active,Normal,"კლიენტის მიერ (მისივე ინიცირებული) ოპერაციების დადასტურების სისტემა (SMS-ით, Email-ით და ა.შ.)","System for approving customer operations by customer (by SMS, Email, ...)",Customer Signing & Authorization
158,UMS,B7,Alta Software,Win App,.Net,Master,Platform Systems,No,Under Development,Critical,მომხმარებლების მართვის სისტემა ალტას სისტემებისთვის,User Managemnt system for Alta's systems,Op Rsiks & Security
159,User Rights Sync,,TBC Solutions,Win Service,.Net,Adapter,Platforms,No,Active,Normal,ახორციელებს HR სისტემაში თანამშრომლის სტატუსის ცვლილებას UMS-ში და ActiveDirectory-ში,Makes Status changes to UMS system based on changes in HR system in employee record and  ActiveDirectory,Op Rsiks & Security
160,Location Service,,AzRy,Win App,Java,Master,Digital,No,Active,Normal,შეიცავს ბანკომატების ადგილმდებარეობებს საქართველოს მასშტაბით,Mainatains location of ATMs,Others
161,BRS,,TBC Solutions,Web App,.Net,Master,Daily Operations,No,Active,Normal,ბაჩურად კლიენტების და პროდუქტების რეგისტრაციის სისტემა,Batch Customer and products registration,Product Bundling & Pricing
162,Employees Evaluation System,,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Active,Normal,თანამშრომლების შეფასების სისტემა,Employee Evaluation system,HRM
163,Pensions Service,,TBC Solutions,Win Service,.Net,Adapter,CIB,No,Active,Normal,საპენსიო ფონდში მის ანგარიშებზე ჩარიცხვების გაგზავნის სერვისი,Sends payments to Pension funds,Government & Regulatory
164,Autoscan,,TBC Solutions,Win App,.Net,Utility,Daily Operations,Yes,Active,Normal,განაცხადიდან ფაქსიმილეს ამოჭრა და ატვირთვა ქორ სისტემაში,Application faximile cuting and uploading to Core system,Others
165,Jasper Report,,TIBCO,App,Java,Mediator,,No,Active,Critical,დოკუმენტების/რეპორტების გენერაციის სისტემა,Document geenartion system,Others
166,Input Management Systems,,TBC Solutions,Win App,.Net,Reporting,Ent Serv,No,Active,Normal,ინფორმაციის ატვირთვა დატავეარჰაუზში,Data upload to datawarehouse,DW & Analytics
167,KYCCheckService,,TBC Solutions,Web Service,.Net,Mediator,Ent Serv,Yes,Active,Normal,"KYC გადამოწმების ფუნქციის მქონე სერვისი, რომელიც გამოიყენება კლიენტის სანქცირებულ ქვეყანასთან კავშირის დასადგენად.","KYC check related service, used for customer check against sunctioned countries",Compliance
168,Card refill service for Gambling,,TBC Solutions,Win Service,.Net,Master,Payments,Yes,Active,Normal,მიკროსაფინანსოებისთვის და გემბლერებისთვის ანგარიშის ავტომატურად შევსების სერვისი,Account sweeping services for Gamblers and Microfinance organizations,Card Payments
169,Merchant Portal,,TBC Solutions,Web App,.Net,Front,Payments,No,Active,Normal,მერჩანტებიოსთვის იფნრომაციის მიწოდება,Transaction infor for Merchants,Card Payments||Self Service Channels
170,UMTS_WEB,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Key,ფულადი გზავნილების გაგზავნა/მიღება ვებიდან,Money Transfer send/reive from Web,"Payments (FT, Bill Payments, Remittances)||Self Service Channels"
171,SecurityPoliceService,,TBC Solutions,Web Service,.Net,Adapter,Ent Serv,No,Active,Normal,დაცვის პოლიციასთან ინტეგრაციის სისტემა,Integration system with Police Security Agency,Cash Management
172,TBC Customer Identity,,TBC Solutions,Web Service,.Net,Master,Platforms,No,Active,Critical,კლიენტების აუტენტიფიკაციის სერვისი,Customer Identification Service,Customer Signing & Authorization
173,TBC Youth,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Normal,ინტერნეტიდან საბარათე და სხვა საბანკო პროდუქტების / სერვისების მიწოდების არხი მოსწავლეთა და სტუდენტთა სეგმენტისათვის,Card and other bank products offering portal for pupils (Schoolchild and Student segment),Self Service Channels
174,Problem Loan Management System,,TBC Solutions,Web App,.Net,Master,Risks,No,Active,Normal,პრობლემური სესხების ამოღების კომპანიებთან და შიდა პრობლემური სესხების მენეჯერებთან მუშაობის სისტემა,"Problem Loan Management system, works with corresponding internal staff and external companys",Debit Cards
175,Factoring(Proxima+Tesla),,NuEuro Soft,Web App,Java,Master||Front,CIB,No,Active,Key,ფაქტრონგის აღრიცხვის მოდული,Factoring Management Module,Loans||Self Service Channels
176,OnlineInstallment,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Key,ონლაინ განვადებების მერჩანტებთან ინტეგრირებული სისტემა,Online Installement Managment system integrated with merchants,Credit Product Origination||Self Service Channels
177,Dgesve,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Normal,"ვებ სისტემა, რომელიც სთავაზობს კლიენტებს საჩუქრებს სესხის აღების სტიმულირებისთვის",Solution offers to customers gifts in order to stimulate Loan purchases,Credit Product Origination||Self Service Channels
178,Apigee,OpenAPI,Apigee,Web Api,N/A,Master||Front,Platforms,No,Active,Critical,ახორციელებს API-ს მიწოდებას გარე მომხმარებელი სისტემისთვის,Exposes API-s to external user systems,Open Banking
179,Cash Management IQ,,BS2,App,N/A,Master,Ent Serv,No,Active,Normal,ინკასაციების და ფულადი სახსრების მართვის მოდული,Cash management system,Cash Management
180,BFM,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Normal,ანალიტიკური რეპორტების მიწოდება სმე კლიენტებისთვის,Provides analitical reports to sme customers,Others
181,Merchant HUB Portal,,TBC Solutions,Web Service,.Net,Front,Payments,No,Active,Normal,"ვებ აპლიკაცია, რომელიც უზრნველყოფს მერჩანტებისთვის  ონლაინ სერვისის მიწოდებას",Provides Online services to merchants,Card Payments||Self Service Channels
182,Merchant Origination,,TBC Solutions,Web App,.Net,Master,Payments,No,Active,Key,"სისტემა, რომელიც უზრუნველყოფს მერჩანტის შექმნას",Manages Merchant origination processes,Card Payments
183,Q-Bridge,,TBC Solutions,Win Service,.Net,Mediator,Platforms,Yes,Active,Key,"შუალედური გადაწყვეტა, რომელიც უზრუნველყოფს ბ6-ის ივენთების გადატანას RabbitMQ-დამ EMS-ში","Middleware solution, exchanges B6 Event transfer from RabbitMQ to EMS",Integration
184,TBC Capital,,TBC Solutions,Web App,.Net,Master,CIB,No,Active,Normal,თიბის კაპიტალის პროდუქტების მართვის სისტემა,Product management for TBC Capital,Others
185,Online Offer Engine,,TBC Solutions,Web Service,.Net,Master,Ent Serv,No,Active,Normal,უზრუნველყოფს შეთავაზებებს სხვადასხვა არხებისთვის,Provides Offers to different channels,"CRM (Customer Relationship, Offering, Sales)"
186,Risk Check Engine,,TBC Solutions,Web Service,.Net,Master,Ent Serv,No,Active,Critical,რეგულაციებთან შესაბამისობების ლოგიკების ბიზნეს წესების მართვის სისტემა,Manages Business logics related to compliance topics,Compliance
187,Online Mortgage,,TBC Solutions,Web App,.Net,Front,Retail Business,No,Active,Key,ონლაინ აპლიკაცია იპოთეკური სესხების განაცხადებისთვის,online application for mortgage loan origination,Credit Product Origination||Self Service Channels
188,JSD Space Storage,,TBC Solutions,Win Service,.Net,Adapter,Ent Serv,No,Active,Normal,"ჯირადან ახდენს ფაილების ავტომატურად გადატანას  მფაილში, ხოლო ყოველდღიურად უკვე გადატანილი ფაილები ჯირაში იშლება შესაბამისი ჯობის გაშვებით.",Transfer Data From Jira to M-File in order to reduce jira storage size,Integration
189,Money Cashout System,,AzRy,App,Java,Master||Front,Payments,No,Active,Normal,ლატარიაში და ტოტალიზატორებში მოგებების განაღდების სისტემა,Enables winning amount repayment for lottery companyes and totalizators,"Payments (FT, Bill Payments, Remittances)||Branch FEs (Call Centre, Branch, Back Office)"
190,ScannerManager,,TBC Solutions,Win Service,.Net,Utility,Platforms,No,Active,Normal," აპლიკაცია, რომელიც სხვადასხვა აპლიკაციებს უმარტივებს სკანერის საკითხებს","Application, which helps other applications to read from scanner",Integration
191,Budgeting,,TBC Solutions,App,.Net,Reporting,Ent Serv,No,Active,Normal,ბიუჯეტის აწყობის სისტემა,Budgeting Solution,DW & Analytics
192,Open API Middleware(OBS),OpenAPI,TBC Solutions,Web Service,.Net,Adapter,Platforms,No,Active,Critical,"შუალედური სერვისი Open API -სა და ბანკის სისტემებს შორის, შეოცავს შუალედურ ბიზნეს ლოგიკებს და ტრანსფორმაციებს",Middleware service between Open API and rest banking systems. Contains middleware business logics and additional transformations,Open Banking||Integration
193,Device Management,,TBC Solutions,App,.Net,Utility,Platforms,No,Active,Normal,"უზრუნველყოფს მოწყობილობების მიერთებას სხვადასხვა ბიზბეს აპლიკაციებთან ",Enables device interaction with business applications,Integration
194,Rs Check,,Alta Software,Web Service,.Net,Adapter,Daily Operations,No,Active,Normal,საშემოსავლო სამსახურს უკეთებს ანგარიშის და კლიენტის შესაბამისობის ვალიდაციას,"Makes validation that account belongs to person for ",Government & Regulatory||Integration
195,tbc.ge,,TBC Solutions,Web App,HTML,Front,Digital Comms CoE,No,Under Development,Normal,თიბისი ბანკის საიტი,TBC Bank Web Site,Others
196,Big Data Process Manager,Big Data,TBC Solutions,Web App,.Net,Reporting,Platforms,No,Active,Normal,Big Data პროცესების პარამეტრების დასკონფიგურირებელი სისტემა,Parameter condiguration management system for Big Data Processes,DW & Analytics
197,Quizzes.ge,,TBC Solutions,Web App,.Net,Front,Ent Serv,No,Under Development,Normal,ქვიზების შესავსები აპლიკაცია ფეისბუქ კლიენტებისთვის,Quizzes application for facebook clients,Others
198,AdminExpenses,,TBC Solutions,Win App,,,,,Cancelled,,ადმინისტრაციული ხარჯების აღრიცხვის სიტემა,Administrative cost accounting system
199,Agreement,,TBC Solutions,Win App,,,,,Cancelled,,"ხელშეკრულებების მოდული. გამოიყენება იურ. პირის გენ. ხელშეკრულებებისთვის, ხელშეკრულებაში პირობების ცვლიელების შეთანხმების და იმ ანგარიშის ამონაწერის თავსართისთვის, რომლებსაც ერიცხება საპროცენტო სარგებელი.",Agreements module
200,ATM Control,,TBC Solutions,Win App,,,,,Cancelled,,ბანკომატების დისბალანსების კონტროლის სისტემა (ბანკომატების ჟურნალების ჩანაწერებს ადარებს Core-ის ტრანზაქციებს),Disbalance control system for ATMs (Compares ATM log files with Core transactions)
201,BankCardsService,,TBC Solutions,Web Service,,,,,Cancelled,,"CSIService-ის წინამორბედი ვერსია. ძირითადად, გამოიყენება ვირტუალური ავტორიზაციების შესაქმნელად B2000-ის კლიენტების ცენტრში, ბარათის შესახებ ინფორმაციის მისაღებად SMS-ების მოდულში.",Previous version of CSIService. Is used for making virtual authorizations and getting card informations from UFC
202,BirthdayNotification,,TBC Solutions,,,,,,Cancelled,,"Winapp + scheduler. თანამშრომლებს უგზავნის დაბადების დღის მისალოც მეილს  1. გენ. დირექტორის სახელით. 2. HR-ის სახელით. ",Sends Birthday Congrats Mails to staff members 1. On behalf of CEO 2. On behalf of HR
203,Bodies,,TBC Solutions,Win App,,,,,Cancelled,,ტან კოდების სისტემა ვიპ კლიენტებისთვის,Tan codes system for VIP clients
204,CalculationModule,,TBC Solutions,,,,,,Cancelled,,"მოდული დავალება ანგარიშსწორებებს ინახავს ბაზაში. აღრიცხავს და ბეჭდავს ნომენკლატურებს, აკეთებს რეპორტს.","Module stores the Payment Assignment in database. Records and prints the nomenclature, doing reports."
205,CallCenterClientInfo,,TBC Solutions,Web App,,,,,Cancelled,,ქოლ-ცენტრილ კლიენტების შესახებ ინფორმაცია,
206,CallsRegistrationManager,,Ltd. PR,Win App,,,,,Cancelled,,"კლიენტის შესახებ სრული ან ნაწილობრივი ინფორმაციის მოპოვება რეპორტის სახით, თარიღისა და პროდუქტის მიხედვით. გამოიყენება გაყიდვების მხარეს, ანალიზისათვის.",Gets client's information. Is used for sales purposes.
207,CashBack,,TBC Solutions,Win App,,,,,Cancelled,,Prime Card-ის cashback-ების სისტემა,Cashback systems for Prime Cards
208,CashInTerminals,,,Web App,,,,,Cancelled,,CashIn ტერმინალების ადმინისტრირების მოდული,CashIn Terminals system Administration Console
209,CheckInkaso,,TBC Solutions,Web App,,,,,Cancelled,,ინკასოს არსებობის შემოწმება,Checking Inkaso
210,Clients in Progress,,TBC Solutions,Win App,,,,,Cancelled,,"კლიეტებთან მოლაპარაკებების, მოზიდვის პროცესი. მოდული იძლევა საშუალებას შეიყვანონ ინფორმაცია პოტენციური კლიენტების შესახებ",Module for registering potential clients.
211,ClientsInfo,,TBC Solutions,Win App,,,,,Cancelled,,არავინ არ იყენებს. ბანკის მიერ დაწერილი მინი CRM. იღებს ინფორმაციას კლიენტის პროდუქტების შესახებ.,
212,Compliance Link System,,Accuity,,,,,,Cancelled,,"საერთაშორისო სისტემა, რომელშიც აღრიცხულია მაღალი რისკის მქონე პირები (პოლიტიკურად აქტიური, ტერორისტები და ა.შ.)","International system which maintains list of risky persons (politically active, terrorists, etc.)"
213,Cons_Dep,,TBC Solutions,Win App,,,,,Cancelled,,აღარ გამოიყენება. კონსოლიდირებული დეპოზიტების მოდული,
214,ConsLoan,,TBC Solutions,Win App,,,,,Cancelled,,"ძველი სესხების მოდულის ანალიტიკური ფორმები. ამჟამად გამოიყენება მხოლოდ TBC Card-ებისათვის. ანუ მხოლოდ ერთი ფორმაა აქტიური, რომელშიც TBC Card-ებს აღრიცხავენ.","The analytical forms of the old loans module. Currently used only for TBC Cards. Thare is only one active form, in which TBC Cards information is recorded."
215,CreditInfo Windows Service,,,Win Service,,,,,Cancelled,,"ჩვენებმა არ იციან, ალტასი არ არის",
216,CreditInfoLoan,,,Web App,,,,,Cancelled,,"არ იხსნება, ირმამ მგონი ეს ძველიაო","Web site, from where users marks loans, which should be send to CreditInfo Bureau"
217,CSIService,,TBC Solutions,Web Service,,,,,Cancelled,,"საბარათე სისტემების საინტერფეისო სერვისი. შუალედური სერვისი საბანკო სისტემებსა და UFC-ს შორის. ასევე იყენებს Core-ის სინქრონიზაციის engine-ი, კლიენტების ცენტრი","Card systems interface service. Middleware web-service between bank and UFC systems. The service is also used in Core card transactions synchronization engine, in clients center"
218,CTS,,TBC Solutions,,,,,,Cancelled,,"შუალედური მოდული ძირითად საბანკო სისტემასა და საპროცესინგო ცენტრს შორის.
1. საბანკო სისტემაში შესრულებული არასინქრონული ტრანზაქციების ექსპორტი საპროცესინგო ცენტრში;
2. ვირტუალური ავტორიზაციების (ბლოკები) მოხსნა;
3. საპროცესინგო ცენტრიდან საკრედიტო ბარათებ","Intermediary module for Core and Processing Center. Functions:
1. Export of non synchronized operations to Processing Center;
2. Removal of virtual authorizations (bloks);
3. Import of Credit Cards data from  Processing Center;
4. Alignment of unauthorize"
219,CustomerAttractionSendMail,,TBC Solutions,,,,,,Cancelled,,გზავნის მეილს არარეზიდენტი კლიენტების მოსაზიდად. იტვირთება ფიზიკური პირების სია და აგზავნის მეილს პაატა ღაძაძის სახელით.,Sends mails on behalf of Paata Ghadzadze (First Deputy CEO) to attract non-resident customers.
220,Deposit Certificates,,TBC Solutions,Win App,,,,,Cancelled,,დეპოზიტების სერთიფიკატი,New system under development (Feb 2014) it will keep the balance value of new product (go-life March 2014)
221,Deposits,,TBC Solutions,Win App,,,,,Cancelled,,დეპოზიტების ძველი სისტემა,Deposits old system
222,DirectDebit,,TBC Solutions,Win App,,,,,Cancelled,,ძველი დაირექტ დებიტი,Old DirectDebit system
223,Drawing,,TBC Solutions,Win App,,,,,Cancelled,,აღარ გამოიყენება,
224,Evaluation (HR-360),,,Web App,,,,,Cancelled,,თანამშრომელთა შეფასების სისტემა (ძველი),Staff evaluation system (Old)
225,ExaminationPortal,,Vabaco,Web App,,,,,Cancelled,,საგამოცდო ვებ-გვერდი,Staff examination module
226,General Contracts,,TBC Solutions,Win App,,,,,Cancelled,,სავალუტო გადარიცხვებისთვის კლიენტის შესყიდვების კონტრაქტების და ლიმიტების აღრიცხვის მოდული,Module for registering clients procurement contracts as basis of foreign currency money transfers
227,GoldMarket,,TBC Solutions,,.Net,,Ent Serv,,Cancelled,,"ოქროს სერტიფიკატების მართვის მოდული. ოქროს ფასების გაწერა, ეროვნულში გაგზავნა, ეროვნულიდან ოქროს ფასების მიღება. დანერგილია სატესტო გარემოში, დასანერგია რეალურ გარემოში (ტოროშელიძე).
დაინერგა რეალურზე (27.06.2014) და ამის შემდეგ გავაუქმეთ (01.08.2014).","Gold Certificate Management Module. Gold prices are put in, sent to NBG, received from NBG."
228,IbanWcfService,,TBC Solutions,Web Service,,,,,Cancelled,,"ახალია. ჯერ არ არის დანერგილი. ამოწმებს იბანის ვალიდურობას, ბანკის კოდის სისწორეს, აქტიურობას და ა.შ.",New. Not deployed yet. Checks IBAN and bank code.
